
Cidade: 78859, Zona: 0008, Seção: 0021
2,55 NINA SINGER,146
3,Eleitores Aptos,340
4,Votos nominais,246
5,Votos de legenda,0
6,Votos em branco,7
7,Votos Nulos,11
8,Total Apurado,264

Cidade: 78859, Zona: 0008, Seção: 0128
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,77
2,55 NINA SINGER,138
3,Eleitores Aptos,344
4,Votos nominais,228
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,18
8,Total Apurado,258

Cidade: 78859, Zona: 0008, Seção: 0129
,Candidato,Votacao
0,13 WILSON CABELO,6
1,44 GERALDO MENDES,92
2,55 NINA SINGER,128
3,Eleitores Aptos,336
4,Votos nominais,226
5,Votos de legenda,0
6,Votos em branco,9
7,Votos Nulos,12
8,Total Apurado,247

Cidade: 78859, Zona: 0008, Seção: 0130
,Candidato,Votacao
0,13 WILSON CABELO,6
1,44 GERALDO MENDES,99
2,55 NINA SINGER,145
3,Eleitores Aptos,342
4,Votos nominais,250
5,Votos de legenda,0
6,Votos em branco,10
7,Votos Nulos,6
8,Total Apurado,266

Cidade: 78859, Zona: 0008, Seção: 0131
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,87
2,55 NINA SINGER,135
3,Eleitores Aptos,342
4,Votos nominais,235
5,Votos de legenda,0
6,Votos em branco,7
7,Votos Nulos,18
8,Total Apurado,260

Cidade: 78859, Zona: 0008, Seção: 0132
,Candidato,Votacao
0,13 WILSON CABELO,14
1,44 GERALDO MENDES,89
2,55 NINA SINGER,128
3,Eleitores Aptos,341
4,Votos nominais,231
5,Votos de legenda,0
6,Votos em branco,14
7,Votos Nulos,15
8,Total Apurado,260

Cidade: 78859, Zona: 0008, Seção: 0133
,Candidato,Votacao
0,13 WILSON CABELO,9
1,44 GERALDO MENDES,94
2,55 NINA SINGER,132
3,Eleitores Aptos,341
4,Votos nominais,235
5,Votos de legenda,0
6,Votos em branco,6
7,Votos Nulos,12
8,Total Apurado,253

Cidade: 78859, Zona: 0008, Seção: 0134
,Candidato,Votacao
0,Não há votos nominais,1
1,13 WILSON CABELO,11
2,44 GERALDO MENDES,94
3,55 NINA SINGER,135
4,Eleitores Aptos,344
5,Votos nominais,240
6,Votos de legenda,0
7,Votos em branco,7
8,Votos Nulos,11
9,Total Apurado,258

Cidade: 78859, Zona: 0008, Seção: 0135
,Candidato,Votacao
0,Não há votos nominais,2
1,13 WILSON CABELO,10
2,44 GERALDO MENDES,76
3,55 NINA SINGER,147
4,Eleitores Aptos,343
5,Votos nominais,233
6,Votos de legenda,0
7,Votos em branco,11
8,Votos Nulos,12
9,Total Apurado,256

Cidade: 78859, Zona: 0008, Seção: 0136
,Candidato,Votacao
0,13 WILSON CABELO,10
1,44 GERALDO MENDES,57
2,55 NINA SINGER,160
3,Eleitores Aptos,324
4,Votos nominais,227
5,Votos de legenda,0
6,Votos em branco,15
7,Votos Nulos,15
8,Total Apurado,257

Cidade: 78859, Zona: 0008, Seção: 0137
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,72
2,55 NINA SINGER,148
3,Eleitores Aptos,324
4,Votos nominais,233
5,Votos de legenda,0
6,Votos em branco,10
7,Votos Nulos,14
8,Total Apurado,257

Cidade: 78859, Zona: 0008, Seção: 0138
,Candidato,Votacao
0,13 WILSON CABELO,12
1,44 GERALDO MENDES,74
2,55 NINA SINGER,129
3,Eleitores Aptos,324
4,Votos nominais,215
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,19
8,Total Apurado,246

Cidade: 78859, Zona: 0008, Seção: 0139
,Candidato,Votacao
0,13 WILSON CABELO,5
1,44 GERALDO MENDES,62
2,55 NINA SINGER,146
3,Eleitores Aptos,320
4,Votos nominais,213
5,Votos de legenda,0
6,Votos em branco,14
7,Votos Nulos,16
8,Total Apurado,243

Cidade: 78859, Zona: 0008, Seção: 0140
,Candidato,Votacao
0,13 WILSON CABELO,2
1,44 GERALDO MENDES,65
2,55 NINA SINGER,162
3,Eleitores Aptos,322
4,Votos nominais,229
5,Votos de legenda,0
6,Votos em branco,10
7,Votos Nulos,18
8,Total Apurado,257

Cidade: 78859, Zona: 0008, Seção: 0141
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,88
2,55 NINA SINGER,128
3,Eleitores Aptos,321
4,Votos nominais,229
5,Votos de legenda,0
6,Votos em branco,7
7,Votos Nulos,14
8,Total Apurado,250

Cidade: 78859, Zona: 0008, Seção: 0145
,Candidato,Votacao
0,13 WILSON CABELO,11
1,44 GERALDO MENDES,104
2,55 NINA SINGER,131
3,Eleitores Aptos,365
4,Votos nominais,246
5,Votos de legenda,0
6,Votos em branco,11
7,Votos Nulos,14
8,Total Apurado,271

Cidade: 78859, Zona: 0008, Seção: 0148
,Candidato,Votacao
0,13 WILSON CABELO,10
1,44 GERALDO MENDES,66
2,55 NINA SINGER,145
3,Eleitores Aptos,323
4,Votos nominais,221
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,10
8,Total Apurado,243

Cidade: 78859, Zona: 0008, Seção: 0149
,Candidato,Votacao
0,13 WILSON CABELO,8
1,44 GERALDO MENDES,68
2,55 NINA SINGER,150
3,Eleitores Aptos,320
4,Votos nominais,226
5,Votos de legenda,0
6,Votos em branco,8
7,Votos Nulos,12
8,Total Apurado,246

Cidade: 78859, Zona: 0008, Seção: 0178
